Date of event,Name of event,At approximately what time did you arrive at this event?,At approximately what time did you leave this event?,Please rate your overall satisfaction with this event.,Please elaborate on your rating above - why do you feel this way?,"If this event were to happen again in the future, what could we do to improve your experience?","Based on your impression of the event prior to attending (from marketing, communications, word of mouth, etc.) how well did the event meet your expectations?",What could we have done differently to meet your expectations?,How safe did you feel at the event?,Did you feel the event was inclusive?,What could we have done differently to make the event more inclusive?,How fun did you feel the event was?,Please provide any additional feedback you have about this event that has not been shared in your answers to previous questions.,How satisfied are you with social life at Bates overall?,Please elaborate on your rating above - why do you feel this way?,"Please provide ideas, if any, for ways to improve social life on campus, or for events or activities that you would like to attend on campus.",Class year
29-Oct-22,Halloween dance,10:15 PM,11:30 PM,5 - Highly satisfied,It was so fun,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,Exceed expectations,,2025
29-Oct-22,Halloween Dance,10:00 PM,12:00am (midnight),5 - Highly satisfied,I had a lot of fun! I love events that Bates holds because everyone comes and I get to see so many people who I may not see otherwise!,,4 - Exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,4 - Satisfied,I feel like I have a sense of community and have people who support me.,,2025
29-Oct-22,Halloween Dance,10:15 PM,12:15 AM,4 - Satisfied,It was really fun at first but the music got worse as the night went on and the dance floor became so crowded it wasn't fun. Until that though I had a great time.,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,5 - Highly satisfied,I feel I almost immediately made a good group of friends and have created strong emotional connections with people here.,,2026
29-Oct-22,Scaredy-cat dance,10:30 PM,12:00am (midnight),3 - Neither satisfied nor dissatisfied,"The music was not fun to dance to, but the candy and pizza was nice",Better music that you can sing along with/less bass,2 - Met some of my expectations,Better music,3 - Neither safe nor unsafe,Yes,,3 - Neither fun nor not fun,,3 - Neither satisfied nor dissatisfied,I have my small group of friends but I don├óÔé¼Ôäót feel like there are many opportunities that are accessible that I can participate,"Less bouncy houses, more accessible buildings/ more space to walk around with stuff out of your the way, I miss stuff like bingo",2024
29-Oct-22,Bates Halloween Dance,11:00 PM,12:00am (midnight),4 - Satisfied,"Overall the ambience and the set up were much better than I expected for a Campus Life event, and it was really nice to see a lot of students coming together to have a good time. ",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"I enjoy going to a small school because the size really generates a sense of community. That being said, the social/party scene is not the best so I wouldn't mind more Campus Life events because they give the entire campus something to do. ",,2024
29-Oct-22,Halloween Dance,10:30 PM,11:30 PM,3 - Neither satisfied nor dissatisfied,"Good, safe environment ",N/A,3 - Met my expectations,,5 - Very safe,Yes,,3 - Neither fun nor not fun,,5 - Highly satisfied,There are many opportunities to meet new people through organized events such as this,,
29-Oct-22,Halloween Dance,10:00 PM,10:30 PM,4 - Satisfied,It was fun and I enjoyed the music and the decorations,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I think social life is fun and inclusive,,2023
29-Oct-22,Halloween Dance,10:45 PM,1:00 AM,4 - Satisfied,The food was great and the photo booth was a lot of fun! The DJs were very talented.,,4 - Exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,4 - Satisfied,"There is always a lot to do and it seems like most people are able to find something fun to do and a group of people to do it with, myself included. ","The themed dances are really fun, so something similar to Halloween where there is a theme for people to dress for!",2026
29-Oct-22,Halloween Dance,10:30 PM,12:00am (midnight),5 - Highly satisfied,The setting was perfect to bring about spirit that nigh. The dj did an amazing job boosting moral and it was a great way for all years to have a good time together.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,I as wel as my friends had a lovely time :),5 - Highly satisfied,I know I am able to meet amazing people no matter what setting on campus.,More school run dances and activities for the whole college to engage with.,2025
29-Oct-22,Halloween Dance,10:45 PM,1:00 AM,4 - Satisfied,"I think it would have benefited from better DJs and later ending time, but it was great!",,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,2 - Dissatisfied,"The social/night life is not great. At Bowdoin, they have inclusive, funded parties that are safe (minors are stamped and not served alcohol). Here, there are few parties and the ones that occur are extremely exclusive. I think modeling after Bowdoin in this area would be very helpful in creating much safer experiences (no need to sneak around, avoid campo/reslife) and encourage community.","See above├óÔé¼ÔÇØ I try think the Bowdoin model is much better. Parties are advertised for everyone. Here, it is not inclusive at all, forcing students to go off campus in search of the college social experience.",2026
29-Oct-22,halloween bash,10:30 PM,12:00am (midnight),4 - Satisfied,music was meh. they turned the lights on at one point which was rough. but the pizza was good and I had fun!,,3 - Met my expectations,,3 - Neither safe nor unsafe,Yes,,4 - Fun,,4 - Satisfied,just am. idk.,,2024
30-Oct-22,Bates Halloween Dance,11:00 PM,12:00am (midnight),5 - Highly satisfied,I had a lot of fun.,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,I am a social person so I have a lot of friends.,,
29-Oct-22,Halloween Dance,10:30 PM,12:30 AM,4 - Satisfied,"It was a fun event that had music and food, as well as a good atmosphere. ",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"I think I am happy with the dances and larger events, and I hope Bates continues smaller events as well. ",,2025
25-Mar-23,Lost Valley Takeover,10:00 PM,11:15 PM,4 - Satisfied,I wish it was more clear that ski rentals were a separate form,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,great,,2025
29-Nov-22,Hallowen Party,10:00 PM,12:15 AM,2 - Dissatisfied,"The music sucked most of the time and by the time someone who understood that Bates has a diverse community came to dj, most of us were tired and left shortly after midnight.  If you can't come up with a diverse playlist book professional djs to play music at such parties.  Also the rule is to not have alcoholic drinks which is GREAT but you let people who were too drunk to even walk by themselves into the building. Such people not only put themselves at risk but they cause alot of discomfort for sober or less drunk people because they step on people and display problematic behavior. Its almost the same as having them in there with alcohol.",#NAME?,1 - Did not meet my expectations,More organized and better planning on hour to regulate behavior of people inside the building,3 - Neither safe nor unsafe,No,Music was not diverse at all,2 - Not fun,,2 - Dissatisfied,its a very cliquie school and also racism is there.,,2025
2-Dec-22,Snow Ball,10:30 PM,12:30 AM,4 - Satisfied,Wish there was more of a dj vibe for music!,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"I have a great group of friends which means I have people to spend time with, even if nothing is really happening. ",Bring back decades dances!,
3-Dec-22,Snowball,10:30 PM,12:45 AM,4 - Satisfied,"It was good fun, I like the idea of live music but the vibes weren’t there.",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,It’s good.,,2025
3-Dec-22,Snowball,10:45 PM,1:15 AM,4 - Satisfied,It was a nice event but the music didn't match the vibe.,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,I am still discovering it.,More social events that gather people according to their interests,2026
3-Dec-22,Snowball,10:30 PM,12:30 AM,4 - Satisfied,"It was fun, the food was good, music was good as well",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"There are lots of events and opportunities which is great, they are also well run",,2026
3-Dec-22,SnowBall,11:00 PM,12:00am (midnight),4 - Satisfied,"I loved the pizza, but I wasn’t overjoyed with the music.",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,"Some people are great, but others are not.",,2025
3-Dec-22,Snowball Semi-formal,10:30 PM,12:30 AM,4 - Satisfied,"I enjoyed the live band but would have wished they played more ""danceable"" hits. The pizza and refreshments were great, and the photo booth was fun! I'm grateful Bates put this event on to ease the stress of finals. ",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,5 - Highly satisfied,I love that the school always has a range of events going on that allow me to meet new people without the added anxiety of alcohol/substance use. They're always fun and something different.,,2026
3-Dec-22,SnowBall,11:15 PM,12:15 AM,4 - Satisfied,It was overall enjoyable but would’ve been better with better music (the violinist was amazing though).,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,There’re always things to do,,2024
3-Dec-22,Snowball,10:30 PM,12:45 AM,5 - Highly satisfied,"Welcoming, safe, and fun. What more is there to ask for?",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,3 - Neither satisfied nor dissatisfied,Social life can be insular and exclusive.,,2024
3-Dec-22,Snow Ball,10:00 PM,12:45 AM,4 - Satisfied,"Enjoyable experience, went with friends and talked",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,"I don't go to many events, but I enjoy with the opportunities offered","I'd enjoy more quiet events, centered around more obscure interests ",2026
3-Dec-22,Snowball,11:00 PM,12:00am (midnight),4 - Satisfied,I liked the band and there was pizza and other food.,,3 - Met my expectations,,4 - Safe,Yes,,2 - Not fun,,4 - Satisfied,"I have friends and I am able to go out, I just don't have a lot of time to because I have schoolwork.",I would appreciate more mental health centric events or maybe a boba night.,2026
3-Dec-22,Snoball,10:30 PM,12:00am (midnight),3 - Neither satisfied nor dissatisfied,"I thought it was fun, but the music wasn’t great. ",The music.,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I like my friends and think that there are a good amount of social events,More dances/carnival type things,2026
3-Dec-22,Snowball,10:45 PM,1:15 AM,4 - Satisfied,It was fun for the most part and I saw a lot of familiar faces,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I have friends and I like them but it’s not anything crazy,,2026
3-Dec-22,Snowball,10:45 PM,12:15 AM,4 - Satisfied,Good band! Pizzas was delicious!,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,Lots of events offered but not as many as I would like.,,2024
3-Dec-22,SnowBall,10:45 PM,1:00 AM,3 - Neither satisfied nor dissatisfied,I thought it was really fun!,I think that the music should all include singing and no just instrumental songs.,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,The campus-run events meet my expectations.,,2025
3-Dec-22,Snowball,10:45 PM,1:00 AM,5 - Highly satisfied,the music was great! i loved the decorations and the photo booth!,,4 - Exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,5 - Highly satisfied,i really liked all of the events they have!,,2026
3-Dec-22,Bates SnowBall,10:30 PM,11:30 PM,4 - Satisfied,#NAME?,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,n/a,4 - Satisfied,#NAME?,#NAME?,2025
3-Dec-22,Snowball,10:45 PM,12:00am (midnight),5 - Highly satisfied,"It was very well-organized -- plenty of food, etc -- and staff was very accommodating and on the ball",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,"Events are amazing when they occur but should occur more often, especially events that discourage drinking",,2025
3-Dec-22,Snowball,10:45 PM,12:00am (midnight),5 - Highly satisfied,Great food (loved the Christmas desserts!) and band was amazing. So was the violinist!,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"Still getting used to Bates, and everyone is very kind and inclusive.",Maybe more themed dances!,2026
3-Dec-22,Snowball,10:45 PM,1:00 AM,5 - Highly satisfied,"I had a lot of fun at the snowball. I really enjoyed the theme and the encouragement to dress up semi-formally. The music was the best part of night in my opinion, and the live band was a lot more exciting than the DJs at the Halloween party. I think everything that was facilitating a good time could be found at the event: food, music, decorations, and lots of friends. It exceeded my expectations because I had planned to go for only about an hour but then my friends and I stayed until the end.",,4 - Exceeded my expectations,,4 - Safe,Yes,,4 - Fun,Overall I would call this a success! I think the only thing that would have made it more positive was more dessert. Also I really appreciated the coat racks (a total lifesaver).,4 - Satisfied,"I'm not a very sociable person, but I have managed to find a really nice group of people, and I have felt very supported by campus life along the way.","Though it would certainly be a little intimidating, I think it could be nice to have some events that initiated more mixing between the classes. I'm not sure exactly what this would look like, but I think it would be nice to meet more upperclassmen in non academic settings. ",2026
3-Dec-22,Snowball,10:45 PM,1:00 AM,4 - Satisfied,"It was good. Loved the live music, could have used more food and decoration/seating.",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,N/A,4 - Satisfied,"I like the events, I feel like there could be more.",More events!,2024
18-Mar-23,Lost valley takeover,7:30 PM,11:00 PM,5 - Highly satisfied,Tubing is so fun loved it,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,I like the people at bates,,2024
3-Dec-22,Snowball,10:45 PM,1:00 AM,4 - Satisfied,the violin was out of place for a dance,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,I don’t like to go to parties in a small house where all people do is drink and there’s really no other options,more dances with dj’s like at Colisee and maybe an option to buy drinks for an all senior event,2023
3-Dec-22,Snowball,10:45 PM,12:00am (midnight),4 - Satisfied,"Good food, could be better music",,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,love the events,,2026
3-Dec-22,Snow Ball,10:45 PM,11:30 PM,2 - Dissatisfied,"The music was not really ""dancing"" music. Needed more rap and hip hop or singalong type songs. Also the bathroom situation was atrocious. ",Get a hip-hop/ rap artist and figure out a way to make bathrooms more accessible/ not as long lines.,4 - Exceeded my expectations,,5 - Very safe,Yes,,2 - Not fun,,3 - Neither satisfied nor dissatisfied,"I really enjoyed Bateschella, I just heard that prior to covid we would have people like boogie with a hoodie and over rap/ hip-hop artists that are more popular with college kids.",See above,2024
3-Dec-22,Snowball,10:30 PM,12:15 AM,5 - Highly satisfied,The music selection was great and was a great atmosphere for everyone dancing. The people at the door were efficient in getting us in.,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,2 - Dissatisfied,"I feel there should be more safe, controlled events like Snowball. Me and my friends’ favorite bates experiences have been those at bates sponsored events. ",,2025
3-Dec-22,Snowball,10:30 PM,1:00 AM,3 - Neither satisfied nor dissatisfied,Some good songs but weird choice of music and band was not very good,"better music, maybe multiple photo booths (line was always super long)",3 - Met my expectations,,3 - Neither safe nor unsafe,Yes,,3 - Neither fun nor not fun,,3 - Neither satisfied nor dissatisfied,I'm not sure how to make it better,,2024
3-Dec-22,Snowball,11:00 PM,12:30 AM,3 - Neither satisfied nor dissatisfied,I thought the band was ok but I would have appreciated more flamboyant music. I also thought that the bathroom situation was a bit stressful at times.,I think it would be good to have more variety in music and splitting up of the dance floor like at the Halloween dance.,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,The social life can be tricky. I think it revolves too much around alcohol sometimes.,More events on weekends that are sober events.,2024
3-Dec-22,Snowball,11:30 PM,12:30 AM,4 - Satisfied,The ticket system is really annoying.,,2 - Met some of my expectations,There’s usually a chocolate fountain,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,It’s alright,,2023
3-Dec-22,Snowball Dance,10:30 PM,11:45 PM,3 - Neither satisfied nor dissatisfied,"I feel that the dances are aesthetically pretty, but they feel too much like a high school or middle school dance. The music is average but does not hype up the crowd. I understand that some songs are inappropriate to play at a school-hosted event; however, investing in reaching out to students about what music they want to be heard at the dances can be useful.","I think the parties should start a bit earlier, maybe something like 9:00 pm. If you make the event at 10:00 pm people will be involved with an event before and by the point will not want to come anymore. People literally told me this the next day. You should make the party people's first destination and not the last. ",3 - Met my expectations,,4 - Safe,Yes,,2 - Not fun,,4 - Satisfied,I would say I have the most fun with my intimate group of friends. much less at the social events hosted by the school.,,2024
3-Dec-22,SnowBall,11:45 PM,12:30 AM,3 - Neither satisfied nor dissatisfied,"The dance itself wasn't super fun, and the music wasn't always great, but I loved that we got physical copies of our photos with friends and that there are online versions of the photos too.","Mix up the music genre, add more side activities such as arts & crafts",3 - Met my expectations,,3 - Neither safe nor unsafe,Yes,,2 - Not fun,,3 - Neither satisfied nor dissatisfied,"I'm already happy with my group of friends and don't feel the need to attend lots of college-hosted social events, so I don't mind that they're usually not super fun.",,2024
3-Dec-22,Snowball,10:30 PM,12:30 AM,5 - Highly satisfied,I thought the live band was great! Really liked their selection of covers.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I have a core group of friends and we go to events sponsored and not sponsored by the college.,,2025
3-Dec-22,Snowball,11:00 PM,12:00am (midnight),5 - Highly satisfied,"I had lots of fun, the music was good, there were plenty of food and drinks, and the campus life workers were helpful, friendly, and kind",,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,"The school does a great job of coordinating safe, fun events for all of us students to connect and enjoy ourselves",,2026
3-Dec-22,Snowball,10:30 PM,11:45 PM,1 - Highly dissatisfied,"I don't want to be rude at all because I understand how much work is needed to put on this event! I wish there had been a DJ instead of a band. I feel like that would be cheaper and also they would play more modern songs that students actually know? The band was kind of a bummer. I remember freshman year there was a DJ, at least I think. I think playing like more modern pop and hip hop songs would be a lot better in my opinion. The violinist was super cool but I felt bad for her. She is so talented but unfortunately nobody can really dance to violin music and people were making fun of her, which was a bummer. That would've been a great opportunity to play actual pop songs people know. ",Please have a DJ instead of a band. And please have that DJ play actual songs with words and not just like club beats!,2 - Met some of my expectations,DJ instead of a band.,5 - Very safe,Yes,,1 - Very not fun,,2 - Dissatisfied,It would be cool to have decades dances back.,,
3-Dec-22,Snowball,10:45 PM,12:00am (midnight),4 - Satisfied,"Good music, ok food. ",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,I think I'm not as social as I'd like but I don't blame Bates for that.,,2025
3-Dec-22,Snowball,10:45 PM,12:30 AM,3 - Neither satisfied nor dissatisfied,I think it seemed like there wasn't too much going on and a lot of people were just walking around trying to figure out what to do.,I think maybe having different activities on the side could be good. Probably like simple games such as trivia to win prizes.,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,My social life isn't as great as I would like but I think this more has to do with focusing on school and prioritizing that instead of a social life.,I think carnivals would be cool would be cool. Obviously it's not the most feasible to fit big rides in on campus but having different games and booths with food has the potential to be a great social event.,2026
3-Dec-22,Snowball,10:00 PM,12:00am (midnight),4 - Satisfied,The song and DJ was better.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,I feel like there can be more events maybe?,Winter formal(a formal partner dance),2026
3-Dec-22,Snowball,10:45 PM,12:45 AM,4 - Satisfied,I really liked the band's and thought the decorations were cute. I wasn't a fan of the violin performance only because it felt out of place.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,"I think at the next dance a DJ that plays music people can sing to would be fun. Some Taylor Swift, some Pitbull, Kesha, Jason Derulo would be much appreciated. Perhaps a Spotify playlist in between band sets instead of a violin?",4 - Satisfied,I like that there's something to do each weekend! I really like the trips to spots around Maine.,,2026
3-Dec-22,Snowball,10:45 PM,12:00am (midnight),3 - Neither satisfied nor dissatisfied,"Great facilities, food / water. Wasn’t a big fan of the music / closed womens bathroom",Fix those above^,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,N/A,3 - Neither satisfied nor dissatisfied,Fun events but lack of off campus opportunities,Nothing Bates can really do,2023
3-Dec-22,Snowball,10:15 PM,12:00am (midnight),4 - Satisfied,"Music was fine, pizza was good, dancing was fun. The bathroom situation was crazy though.",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,Sometimes things to do on weekends sometimes nothing. When there’s nothing going on campus starts to feel small.,,2026
3-Dec-22,Snowball,11:00 PM,12:00am (midnight),4 - Satisfied,It was really fun. Pizza was good and music was nice. I love the idea of live music but sometimes a DJ sounds more appealing.,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,2 - Dissatisfied,"With an already very small party scene, I feel that administration members unfairly work to eliminate any party scene altogether. ","These on campus events at night like this are fun, but wish there were more. ",2025
3-Dec-22,snowball,10:45 PM,12:30 AM,4 - Satisfied,"I think it was pretty fun overall, but I think people would have had a better time if the music had been better and more danceable at times. Still nice event tho !",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,its good,,2026
3-Dec-22,Snowball,10:30 PM,12:30 AM,4 - Satisfied,I loved the live music! Everything was a lot of fun.,,4 - Exceeded my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,Campus sponsored events are always fun but I feel as though people do not socially put themselves out there.,More community events! Things that bring people together are always fun.,2025
3-Dec-22,SnowBall,11:00 PM,12:00am (midnight),4 - Satisfied,It was pretty fun. Pizza was good.,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,Overall pretty fun.,4 - Satisfied,I think that bates has a pretty good social life for a small school.,Light up the night was very fun last year. Especially combined with late night commons. I would definitely go if there was something like that again.,2025
3-Dec-22,SnowBall,11:00 PM,12:00am (midnight),4 - Satisfied,bad music good pizza,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,pretty solid social life.,,2026
3-Dec-22,Snowball dance,10:45 PM,11:30 PM,4 - Satisfied,The music was not great but everything else was fine.,,3 - Met my expectations,,4 - Safe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,I have friends.,,2023
3-Dec-22,SnowBall,10:45 PM,1:00 AM,4 - Satisfied,It was fun but didn't feel particularly wintery.,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,"I have been able to meet many friends through clubs and activities on campus, and it's easy to see them in my free time as well.",,2025
3-Dec-22,Snowball,11:30 PM,1:00 AM,2 - Dissatisfied,The Music for the event could have been better.,Student DJs instead of a live band,3 - Met my expectations,,5 - Very safe,Yes,,1 - Very not fun,,3 - Neither satisfied nor dissatisfied,n/a,More casual events,2023
3-Dec-22,SnowBall,11:00 PM,12:30 AM,4 - Satisfied,This event was fun. I personally wish there were more dancing songs given that I don't really think this was the best place for the violin girl to perform.,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,"Something I don't really like (that isn't really a problem to be addressed by anyone other than the students) is that the parties are very exclusive. Especially the ones at the sports houses. When you try to go, the people at the door only let you in if you know someone on the team, and they are very obnoxious about the whole ordeal, and make fun of you if you don't know anyone. As for the school-sponsored/planned events, they have been fun. ",Maybe just more events like this.,2026
3-Dec-22,Snowball,11:00 PM,12:45 AM,3 - Neither satisfied nor dissatisfied,would have been cool if we had a dj like the halloween dance,music,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,need more dances with dj s,,2026
3-Dec-22,Snow Ball,11:00 PM,1:00 AM,1 - Highly dissatisfied,The music sucked and was not appropriate for the event. Just hire a dj next time,#NAME?,3 - Met my expectations,,5 - Very safe,Yes,,1 - Very not fun,,2 - Dissatisfied,Not event campus wide events,More school events,2026
3-Dec-22,Snowball,11:00 PM,1:15 AM,2 - Dissatisfied,"It wasn't what i thought it would be, the violin wasn't fitting the vibe of the dance ","less live music, more actual music",1 - Did not meet my expectations,played different music,3 - Neither safe nor unsafe,Yes,,2 - Not fun,,3 - Neither satisfied nor dissatisfied,i don't like the people here,,2026
3-Dec-22,Snow Ball,11:30 PM,1:00 AM,3 - Neither satisfied nor dissatisfied,"Food was okay, music could be better, not bad.",Not sure,3 - Met my expectations,,3 - Neither safe nor unsafe,Yes,,3 - Neither fun nor not fun,"Some drunk girl kicked my shins a crap ton, but was fine otherwise ",4 - Satisfied,Got to chill with friends,Have none,2026
3-Dec-22,Snowball,11:00 PM,12:30 AM,4 - Satisfied,"The music wasn't very good; would have rather had a DJ and the violinist was talented, but I don't think violin-based music fit the theme to dance to",,1 - Did not meet my expectations,"More of a snowball theme? Felt like gray cage was very bare; also, why did I have to pump for water? If I wanted a workout, I'd sign up for a 4th Varsity Lab",5 - Very safe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,I spend time with friends everyday and I love it,,2026
3-Dec-22,Snowball,10:45 PM,12:30 AM,4 - Satisfied,mostly good music. pizza was phenom.,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,yay snowball!!,4 - Satisfied,"overall, satisifed. Some are better than others but net positive experience.",,2026
3-Dec-22,Snowball,10:45 PM,12:45 AM,4 - Satisfied,"I think semi formal was too broad. Would have felt better to have a theme dance; masquerade, cocktail, black and white, Disney characters. Something that could have made choosing an outfit a little more exciting. The selection of music also was very different to what I expected with a semi formal attire. I would like to hear more couple dancing songs. Hopefully I hear more diverse music for the future and a variation of music. ",,2 - Met some of my expectations,Music variation in accordance to the attire,5 - Very safe,No,Music variety,5 - Very fun,Bad bunny,4 - Satisfied,Friend group,Have a spirit week.,2024
3-Dec-22,Snowball,10:00 PM,1:00 AM,5 - Highly satisfied,I really liked the atmosphere of the event and I loved the music choice! It was a very good time.,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,The social events are fun and club activities give me more opportunities to be social as well,,2026
3-Dec-22,Snowball,11:15 PM,12:00am (midnight),3 - Neither satisfied nor dissatisfied,"Not as many people there as expected, entertainment was alright ",Better band/DJ,3 - Met my expectations,,3 - Neither safe nor unsafe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,Alright social life,,2025
3-Dec-22,Snowball,11:15 PM,12:15 AM,3 - Neither satisfied nor dissatisfied,"Was an alright event, I wisht that there were more activities and things to do. ",LIke little arcade games in the corner or something for individuals who do not want to dance,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,Friends and campus life provide!,"More small events, like ax throwing outrside of commons or a cool arts and crafts fair ",2024
3-Dec-22,Snoball,11:00 PM,12:00am (midnight),4 - Satisfied,"loved the photo booth and the pizza, but it would have been better to have a DJ rather than live music",,4 - Exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,4 - Satisfied,I like that Bates tries to host safe and fun events on campus,,2025
3-Dec-22,Snowball,10:45 PM,11:30 PM,4 - Satisfied,"The music was really good but the song selection wasn't quite right for dancing. Overall, the energy was really great and I had a great time. ",,3 - Met my expectations,,4 - Safe,Yes,,5 - Very fun,,4 - Satisfied,"As a first year, I found good friends very quickly, however I wish there were more opportunities to meet people outside of my group other than classes. ",,2026
3-Dec-22,Snowball,10:45 PM,12:30 AM,5 - Highly satisfied,It was so much fun and great music!,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,Such great people and great events!,,2026
3-Dec-22,snowball,10:30 PM,12:15 AM,5 - Highly satisfied,it was fun! weird violin tho,,5 - Greatly exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,4 - Satisfied,I just am,,2024
3-Dec-22,Snowball,11:00 PM,12:00am (midnight),4 - Satisfied,"I enjoyed my time at the event with my friends. I was glad that there was pizza, and it was fun to run into a lot of people I know.",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,I appreciate Campus Life for providing fun things for students to do.,,2025
3-Dec-22,snowball,10:45 PM,11:45 PM,2 - Dissatisfied,music was something...,maybe a DJ would have been better,2 - Met some of my expectations,Expected it to be like ~eh,4 - Safe,No,disabled... a lil hard to do much,2 - Not fun,,3 - Neither satisfied nor dissatisfied,you guys definitely try which is appreciated but always slightly subpar,,2026
3-Dec-22,Snowball,10:30 PM,12:30 AM,4 - Satisfied,I liked the music that was played and the general vibe.,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,"I really appreciate the variety of events that Campus Life and other groups put on for students, there's always something fun to do during the day.",,
2-Dec-22,Snowball,10:15 PM,12:00am (midnight),4 - Satisfied,The band was good,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,Good people,,2025
3-Dec-22,SnowBall,11:00 PM,1:00 AM,3 - Neither satisfied nor dissatisfied,The music and food were bad,Get a proper DJ,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,Good intentions,,2026
